"IP_ID","YEAR","AGE","EDUCATION"
"CFG053",2022,"70",2
"NNA451",2022,"72",2
"VLZ931",2022,"44",2
"VVF064",2022,"63",1
"DXH176",2022,"20",1
"LDI179",2022,"46",3
"FTK662",2022,"37",1
"HOM686",2022,"37",3
"NSI_719",2022,"65",3
"VSS623",2022,"53",3
"ZCJ487",2022,"46",NA
"THZ403",2022,"50",3
"NAY796",2022,"20",2
"UGY512",2022,"37",3
"CGC248",2022,"48",1
"KTL458",2022,"62",3
"RXQ316",2022,"51",3
"UAT938",2022,"69",2
"XIH740",2022,"50",1
"NSI520",2022,"27",3
"XHL520",2022,"71",2
"ABM630",2022,"58",3
"CJK990",2022,"20",1
"OZA757",2022,"40",3
"ZJR344",2022,"51",1
"BHU326",2022,"51",3
"OUZ_966",2022,"74",3
"DIN352",2022,"50",1
"YZH217",2022,"49",1
"ZNF314",2022,"47",1
"DQD518",2022,"48",2
"KLI898",2022,"75",1
"ZUU152",2022,"19",2
"JQF170",2022,"52",2
"RMD957",2022,"57",3
"TXG964",2022,"35",1
"WJI132",2022,"35",1
"OPE410",2022,"57",1
"KOQ036",2022,"49",1
"WVU088",2022,"74",3
"SMY064",2022,"36",3
"HYT525",2022,"53",NA
"WXI082",2022,"40",3
"FCV_232",2022,"45",1
"SMI279",2022,"52",1
"XHZ068",2022,"69",3
"EXJ232",2022,"53",2
"QDZ344",2022,"59",1
"KHR644",2022,"64",1
"DCG979",2022,"55",3
"RAZ905",2022,"59",1
"VQF355",2022,"36",3
"AQX449",2022,"68",3
"ZFG062",2022,"42",1
"FWU607",2022,"57",3
"LZK707",2022,"58",1
"LYY034",2022,"68",3
"LYZ714",2022,"75",2
"LMW966",2022,"37",1
"TOV_710",2022,"74",1
"UFB895",2022,"#NA",2
"AXR277",2022,"75",1
"RFN012",2022,"53",3
"RTH822",2022,"63",1
"XKB662",2022,"70",3
"IGU928",2022,"60",3
"FNI619",2022,"24",NA
"KCW276",2022,"23",3
"NXT275",2022,"37",2
"NQW354",2022,"47",1
"GGK989",2022,"68",1
"VEG118",2022,"43",2
"LVK577",2022,"46",3
"USB491",2022,"26",3
"SEE176",2022,"51",3
"LSD686",2022,"46",1
"UCP750",2022,"54",3
"BHI898",2022,"70",2
"PWW095",2022,"59",3
"LFI084",2022,"27",3
"BKG700",2022,"42",2
"GCK775",2022,"73",3
"LCL666",2022,"36",2
"NSR147",2022,"63",3
"NNP243",2022,"22",3
"REK097",2022,"69",3
"KGQ_983",2022,"43",1
"GOX881",2022,"45",3
"PBJ217",2022,"73",1
"XYH970",2022,"50",1
"TKX489",2022,"74",3
"GMY770",2022,"51",3
"UXC274",2022,"31",3
"SWT676",2022,"40",3
"KCK887",2022,"62",3
"GDB079",2022,"51",NA
"SIQ563",2022,"47",3
"NYS060",2022,"35",1
"NJV405",2022,"24",1
"QQO596",2022,"64",3
"ASB_608",2022,"30",1
"DRF079",2022,"65",3
"ZPF391",2022,"72",NA
"SXW179",2022,"39",3
"UWH766",2022,"69",2
"FKX711",2022,"55",3
"OBU_438",2022,"18",1
"ZOE413",2022,"53",1
"AXT919",2022,"63",3
"HMB855",2022,"43",1
"YBL211",2022,"65",3
"KED770",2022,"42",3
"GTJ835",2022,"45",2
"AGF030",2022,"36",3
"MAG851",2022,"42",3
"JCD145",2022,"38",1
"WOZ452",2022,"58",1
"AAS710",2022,"74",3
"ORL974",2022,"27",3
"ZBU802",2022,"41",1
"ATU225",2022,NA,2
"YOM809",2022,"70",3
"ORY045",2022,"42",2
"WME549",2022,"40",1
"XUH024",2022,"66",3
"PDS029",2022,"72",1
"VDL644",2022,"69",3
"VQR275",2022,"50",1
"HZR996",2022,"56",2
"BKV624",2022,"50",3
"KMJ932",2022,"59",3
"GTW_605",2022,"36",3
"OBQ355",2022,"46",3
"XXW912",2022,"56",1
"SEX123",2022,"52",1
"TBQ598",2022,"71",3
"MNT033",2022,"64",2
"UAC133",2022,NA,2
"CHX102",2022,"24",1
"DCW718",2022,"59",3
"XKJ212",2022,"48",3
"ROF736",2022,"25",3
"FTD058",2022,"74",1
"DUV780",2022,"75",3
"MGP857",2022,"69",1
"FEF254",2022,"41",1
"NCR505",2022,"37",1
"XCO643",2022,"67",3
"GJL473",2022,"44",1
"KMT943",2022,"32",2
"KJR644",2022,"64",1
"UTH823",2022,"32",3
"DBJ994",2022,"47",3
"KSR991",2022,"33",3
"SYN964",2022,NA,1
"LRQ262",2022,"56",3
"ONQ211",2022,"63",3
"VGG138",2022,"35",3
"WSI128",2022,"55",3
"ISJ715",2022,"23",3
"WCV126",2022,"36",1
"VSP543",2022,"53",3
"UHF_686",2022,"67",1
"OBR471",2022,"32",1
"BGX909",2022,"61",1
"ZKI695",2022,"71",3
"QJV623",2022,"65",2
"SYU_410",2022,"36",3
"CIL_511",2022,"40",2
"VNA729",2022,"37",3
"QWS049",2022,"65",2
"ZFH515",2022,"61",3
"MGL564",2022,"35",3
"QTS514",2022,"57",1
"UUM151",2022,"27",3
"UYX259",2022,"49",1
"GWB440",2022,"35",1
"MZM277",2022,"72",2
"JEU743",2022,"49",3
"QZY230",2022,"55",3
"RBC869",2022,"69",1
"XKC_629",2022,"58",NA
"ZHI135",2022,"53",3
"XPM_401",2022,"20",1
"MSF823",2022,"43",1
"RFP_014",2022,"64",1
"PBR743",2022,"38",3
"UKO086",2022,"57",3
"OIA119",2022,"74",1
"ZOX854",2022,"50",3
"DYU876",2022,"46",3
"DYN129",2022,"74",3
"BRY671",2022,"64",3
"MVS468",2022,"60",3
"VXL883",2022,"66",2
"RPE505",2022,"28",1
"OQH523",2022,"42",2
"LTB972",2022,"42",2
"KEY617",2022,"64",1
"XLP938",2022,"32",2
"HRW623",2022,"69",1
"PKR546",2022,"37",1
"UPQ625",2022,"74",1
"IBP665",2022,"62",3
"UAM865",2022,"48",3
"FUR066",2022,"40",1
"DMP800",2022,"72",3
"HMQ065",2022,"27",1
"TUP652",2022,"59",2
"TDY_337",2022,"43",2
